epoch,loss,weight,bias,weight_grad,bias_grad
2.900000000000000000e+01,3.099180161952972412e-01,1.996905088424682617e+00,4.433832764625549316e-01,-6.189799308776855469e-02,-1.113233566284179688e+00
3.000000000000000000e+01,2.976146340370178223e-01,1.997524023056030273e+00,4.545156061649322510e-01,-4.951946437358856201e-02,-1.090968966484069824e+00
3.100000000000000000e+01,2.858092486858367920e-01,1.998019218444824219e+00,4.654252827167510986e-01,-3.961554169654846191e-02,-1.069149255752563477e+00
3.200000000000000000e+01,2.744787037372589111e-01,1.998415350914001465e+00,4.761167764663696289e-01,-3.169292211532592773e-02,-1.047766447067260742e+00
3.300000000000000000e+01,2.636014521121978760e-01,1.998732328414916992e+00,4.865944385528564453e-01,-2.535313367843627930e-02,-1.026811361312866211e+00
3.400000000000000000e+01,2.531575858592987061e-01,1.998985886573791504e+00,4.968625605106353760e-01,-2.028198540210723877e-02,-1.006274938583374023e+00
3.500000000000000000e+01,2.431292384862899780e-01,1.999188661575317383e+00,5.069252848625183105e-01,-1.622672379016876221e-02,-9.861493706703186035e-01
3.600000000000000000e+01,2.334993183612823486e-01,1.999350905418395996e+00,5.167867541313171387e-01,-1.298150420188903809e-02,-9.664266705513000488e-01
3.700000000000000000e+01,2.242512702941894531e-01,1.999480724334716797e+00,5.264509916305541992e-01,-1.038461923599243164e-02,-9.470978975296020508e-01
3.800000000000000000e+01,2.153701633214950562e-01,1.999584555625915527e+00,5.359219908714294434e-01,-8.309245109558105469e-03,-9.281561374664306641e-01
3.900000000000000000e+01,2.068409621715545654e-01,1.999667644500732422e+00,5.452035665512084961e-01,-6.646543741226196289e-03,-9.095929861068725586e-01
4.000000000000000000e+01,1.986497342586517334e-01,1.999734163284301758e+00,5.542994737625122070e-01,-5.316853523254394531e-03,-8.914012908935546875e-01
4.100000000000000000e+01,1.907830238342285156e-01,1.999787330627441406e+00,5.632134675979614258e-01,-4.253447055816650391e-03,-8.735732436180114746e-01
4.200000000000000000e+01,1.832278519868850708e-01,1.999829888343811035e+00,5.719491839408874512e-01,-3.401994705200195312e-03,-8.561017513275146484e-01
4.300000000000000000e+01,1.759719252586364746e-01,1.999863862991333008e+00,5.805101990699768066e-01,-2.722948789596557617e-03,-8.389797210693359375e-01
4.400000000000000000e+01,1.690034121274948120e-01,1.999891042709350586e+00,5.888999700546264648e-01,-2.179324626922607422e-03,-8.222001791000366211e-01
4.500000000000000000e+01,1.623107641935348511e-01,1.999912858009338379e+00,5.971219539642333984e-01,-1.742869615554809570e-03,-8.057559728622436523e-01
4.600000000000000000e+01,1.558832973241806030e-01,1.999930262565612793e+00,6.051794886589050293e-01,-1.395553350448608398e-03,-7.896410226821899414e-01
4.700000000000000000e+01,1.497102528810501099e-01,1.999944210052490234e+00,6.130759119987487793e-01,-1.114711165428161621e-03,-7.738481760025024414e-01
4.800000000000000000e+01,1.437817960977554321e-01,1.999955415725708008e+00,6.208143830299377441e-01,-8.918642997741699219e-04,-7.583713531494140625e-01
4.900000000000000000e+01,1.380880177021026611e-01,1.999964356422424316e+00,6.283981204032897949e-01,-7.125884294509887695e-04,-7.432038784027099609e-01
5.000000000000000000e+01,1.326196491718292236e-01,1.999971508979797363e+00,6.358301639556884766e-01,-5.690157413482666016e-04,-7.283395528793334961e-01
5.100000000000000000e+01,1.273680031299591064e-01,1.999977231025695801e+00,6.431135535240173340e-01,-4.547089338302612305e-04,-7.137731313705444336e-01
5.200000000000000000e+01,1.223241910338401794e-01,1.999981760978698730e+00,6.502512693405151367e-01,-3.659129142761230469e-04,-6.994974613189697266e-01
5.300000000000000000e+01,1.174801215529441833e-01,1.999985456466674805e+00,6.572462320327758789e-01,-2.903416752815246582e-04,-6.855074167251586914e-01
5.400000000000000000e+01,1.128279119729995728e-01,1.999988317489624023e+00,6.641013026237487793e-01,-2.332180738449096680e-04,-6.717973351478576660e-01
5.500000000000000000e+01,1.083599552512168884e-01,1.999990701675415039e+00,6.708192825317382812e-01,-1.861378550529479980e-04,-6.583614349365234375e-01
5.600000000000000000e+01,1.040689349174499512e-01,1.999992609024047852e+00,6.774029135704040527e-01,-1.483559608459472656e-04,-6.451943516731262207e-01
5.700000000000000000e+01,9.994768351316452026e-02,1.999994039535522461e+00,6.838548779487609863e-01,-1.189708709716796875e-04,-6.322900652885437012e-01
5.800000000000000000e+01,9.598974138498306274e-02,1.999995231628417969e+00,6.901777982711791992e-01,-9.533017873764038086e-05,-6.196442842483520508e-01
5.900000000000000000e+01,9.218861907720565796e-02,1.999996185302734375e+00,6.963742375373840332e-01,-7.652491331100463867e-05,-6.072516441345214844e-01
6.000000000000000000e+01,8.853787928819656372e-02,1.999996900558471680e+00,7.024467587471008301e-01,-6.173551082611083984e-05,-5.951063036918640137e-01
6.100000000000000000e+01,8.503185957670211792e-02,1.999997496604919434e+00,7.083978056907653809e-01,-5.042552947998046875e-05,-5.832045078277587891e-01
6.200000000000000000e+01,8.166457712650299072e-02,1.999997973442077637e+00,7.142298221588134766e-01,-4.131346940994262695e-05,-5.715403556823730469e-01
6.300000000000000000e+01,7.843068242073059082e-02,1.999998331069946289e+00,7.199452519416809082e-01,-3.380328416824340820e-05,-5.601095557212829590e-01
6.400000000000000000e+01,7.532475143671035767e-02,1.999998688697814941e+00,7.255463600158691406e-01,-2.623349428176879883e-05,-5.489071011543273926e-01
6.500000000000000000e+01,7.234197854995727539e-02,1.999998927116394043e+00,7.310354113578796387e-01,-2.189725637435913086e-05,-5.379292964935302734e-01
6.600000000000000000e+01,6.947716325521469116e-02,1.999999165534973145e+00,7.364147305488586426e-01,-1.626461744308471680e-05,-5.271704196929931641e-01
6.700000000000000000e+01,6.672585755586624146e-02,1.999999284744262695e+00,7.416864633560180664e-01,-1.411139965057373047e-05,-5.166269540786743164e-01
6.800000000000000000e+01,6.408353149890899658e-02,1.999999403953552246e+00,7.468527555465698242e-01,-1.221150159835815430e-05,-5.062944889068603516e-01
6.900000000000000000e+01,6.154578924179077148e-02,1.999999523162841797e+00,7.519156932830810547e-01,-8.568167686462402344e-06,-4.961685240268707275e-01
7.000000000000000000e+01,5.910865589976310730e-02,1.999999642372131348e+00,7.568773627281188965e-01,-7.294118404388427734e-06,-4.862454533576965332e-01
7.100000000000000000e+01,5.676795914769172668e-02,1.999999761581420898e+00,7.617397904396057129e-01,-4.597008228302001953e-06,-4.765205383300781250e-01
7.200000000000000000e+01,5.451986566185951233e-02,1.999999761581420898e+00,7.665050029754638672e-01,-4.678964614868164062e-06,-4.669897854328155518e-01
7.300000000000000000e+01,5.236098170280456543e-02,1.999999761581420898e+00,7.711749076843261719e-01,-4.947185516357421875e-06,-4.576504826545715332e-01
7.400000000000000000e+01,5.028744414448738098e-02,1.999999761581420898e+00,7.757514119148254395e-01,-4.857778549194335938e-06,-4.484972357749938965e-01
7.500000000000000000e+01,4.829609394073486328e-02,1.999999761581420898e+00,7.802363634109497070e-01,-4.574656486511230469e-06,-4.395274519920349121e-01
7.600000000000000000e+01,4.638351127505302429e-02,1.999999761581420898e+00,7.846316099166870117e-01,-4.626810550689697266e-06,-4.307366311550140381e-01
7.700000000000000000e+01,4.454669356346130371e-02,1.999999761581420898e+00,7.889389991760253906e-01,-4.246830940246582031e-06,-4.221217334270477295e-01
7.800000000000000000e+01,4.278265684843063354e-02,1.999999761581420898e+00,7.931602001190185547e-01,-4.686415195465087891e-06,-4.136793911457061768e-01
7.900000000000000000e+01,4.108845442533493042e-02,1.999999761581420898e+00,7.972970008850097656e-01,-4.246830940246582031e-06,-4.054057598114013672e-01
8.000000000000000000e+01,3.946145251393318176e-02,1.999999761581420898e+00,8.013510704040527344e-01,-4.932284355163574219e-06,-3.972980976104736328e-01
8.100000000000000000e+01,3.789876773953437805e-02,1.999999761581420898e+00,8.053240776062011719e-01,-4.947185516357421875e-06,-3.893521130084991455e-01
8.200000000000000000e+01,3.639796376228332520e-02,1.999999761581420898e+00,8.092175722122192383e-01,-4.574656486511230469e-06,-3.815649747848510742e-01
8.300000000000000000e+01,3.495660424232482910e-02,1.999999761581420898e+00,8.130332231521606445e-01,-4.567205905914306641e-06,-3.739337027072906494e-01
8.400000000000000000e+01,3.357231616973876953e-02,1.999999761581420898e+00,8.167725801467895508e-01,-4.567205905914306641e-06,-3.664550185203552246e-01
8.500000000000000000e+01,3.224281221628189087e-02,1.999999761581420898e+00,8.204371333122253418e-01,-4.328787326812744141e-06,-3.591256737709045410e-01
8.600000000000000000e+01,3.096603415906429291e-02,1.999999761581420898e+00,8.240283727645874023e-01,-4.969537258148193359e-06,-3.519433736801147461e-01
8.700000000000000000e+01,2.973972819745540619e-02,1.999999761581420898e+00,8.275477886199951172e-01,-4.686415195465087891e-06,-3.449042141437530518e-01
8.800000000000000000e+01,2.856209129095077515e-02,1.999999761581420898e+00,8.309968113899230957e-01,-4.850327968597412109e-06,-3.380064368247985840e-01
8.900000000000000000e+01,2.743099629878997803e-02,1.999999761581420898e+00,8.343768715858459473e-01,-4.261732101440429688e-06,-3.312461376190185547e-01
9.000000000000000000e+01,2.634473331272602081e-02,1.999999761581420898e+00,8.376893401145935059e-01,-4.593282938003540039e-06,-3.246212303638458252e-01
9.100000000000000000e+01,2.530147694051265717e-02,1.999999761581420898e+00,8.409355282783508301e-01,-4.492700099945068359e-06,-3.181287646293640137e-01
9.200000000000000000e+01,2.429955266416072845e-02,1.999999761581420898e+00,8.441168069839477539e-01,-4.243105649948120117e-06,-3.117662966251373291e-01
9.300000000000000000e+01,2.333726920187473297e-02,1.999999761581420898e+00,8.472344875335693359e-01,-4.678964614868164062e-06,-3.055308461189270020e-01
9.400000000000000000e+01,2.241317555308341980e-02,1.999999761581420898e+00,8.502898216247558594e-01,-4.943460226058959961e-06,-2.994206547737121582e-01
